INSTRUCTION_NAME,OPCODE,BITFLAGS,ARGUMENT_1_BIT_LENGTH,ARGUMENT_1_TYPE,ARGUMENT_1_RANGE,ARGUMENT_2_BIT_LENGTH,ARGUMENT_2_TYPE,ARGUMENT_2_RANGE,ARGUMENT_3_BIT_LENGTH,ARGUMENT_3_TYPE,ARGUMENT_3_RANGE
HALT,00000,0000_0000_0000_0000,,,,,,,,,
IADD,00001,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
ISUB,00010,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
IMUL,00011,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
IDIV,00100,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
IMOD,00100,0000_0000_0000_0001,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
SIADD,00001,0000_0000_0000_0010,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
SISUB,00010,0000_0000_0000_0010,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
SIMUL,00011,0000_0000_0000_0010,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
SIDIV,00100,0000_0000_0000_0010,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
SIMOD,00100,0000_0000_0000_0011,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
NOT,00101,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,,,
AND,00110,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
OR,00111,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
FADD,01000,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
FSUB,01001,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
FMUL,01010,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
FDIV,01011,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
IMSHL,01100,0000_0000_0000_0001,3,REGISTER,r1-r7,3,REGISTER,r0-r7,4,IMMEDIATE,0:15
IMSHR,01101,0000_0000_0000_0001,3,REGISTER,r1-r7,3,REGISTER,r0-r7,4,IMMEDIATE,0:15
SHL,01100,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
SHR,01101,0000_0000_0000_0000,3,REGISTER,r1-r7,3,REGISTER,r0-r7,3,REGISTER,r0-r7
ADI,01110,0000_0000_0000_0000,3,REGISTER,r1-r7,8,IMMEDIATE,-127:255,,,
LDIL,01111,0000_0000_0000_0000,3,REGISTER,r1-r7,8,IMMEDIATE,-127:255,,,
LDIH,10000,0000_0000_0000_0000,3,REGISTER,r1-r7,8,IMMEDIATE,-127:255,,,
LOAD,10010,0000_0000_0000_0000,4,REGISTER,r1-r15,4,REGISTER,r0-r15,,,
STORE,10011,0000_0000_0000_0000,4,REGISTER,r0-r15,4,REGISTER,r0-r15,,,